阿公店水庫	1467.92	1300.0	2026-01-04
牡丹水庫	2622.08	2409.0	2026-01-04
成功水庫	121.0	109.26	2026-01-01
興仁水庫	74.0	37.42	2026-01-01
太湖水庫	148.08	130.4	2026-01-04
田埔水庫	48.62	38.47	2026-01-04
金沙水庫	43.47	33.4	2026-01-04
后沃水庫	41.63	-1.0	2026-01-04
石門水庫	20526.0	20423.49	2026-01-05
西勢水庫	39.6	37.33	2026-01-05
新山水庫	995.96	694.55	2026-01-05
翡翠水庫	36997.6	35374.57	2026-01-05
寶山水庫	500.83	283.05	2026-01-05
寶山第二水庫	3379.78	2570.06	2026-01-05
永和山水庫	2993.43	2359.99	2026-01-05
大埔水庫	529.9	-1.0	2026-01-05
明德水庫	1242.28	811.92	2026-01-05
鯉魚潭水庫	11584.35	8330.5	2026-01-05
德基水庫	18432.88	17789.9	2026-01-05
石岡壩	120.21	26.68	2026-01-05
霧社水庫	2572.22	2053.26	2026-01-05
日月潭水庫	12846.14	11579.81	2026-01-05
湖山水庫	5041.0	3166.0	2026-01-05
仁義潭水庫	2459.19	1277.01	2026-01-05
蘭潭水庫	919.7	564.29	2026-01-05
白河水庫	1404.16	509.0	2026-01-05
烏山頭水庫	7737.94	4418.0	2026-01-05
曾文水庫	49181.0	36934.0	2026-01-05
南化水庫	8522.63	5713.29	2026-01-05
鏡面水庫	96.57	78.0	2026-01-05
澄清湖水庫	261.36	218.0	2026-01-05
阿公店水庫	1467.92	1287.0	2026-01-05
鳳山水庫	-1.0	449.39	2026-01-05
牡丹水庫	2622.08	2400.0	2026-01-05
成功水庫	121.0	109.26	2026-01-05
興仁水庫	74.0	36.52	2026-01-05
太湖水庫	148.08	130.4	2026-01-05
田埔水庫	48.62	37.86	2026-01-05
金沙水庫	43.47	33.4	2026-01-05
后沃水庫	41.63	28.9	2026-01-05
石門水庫	20526.0	20406.38	2026-01-06
西勢水庫	39.6	37.25	2026-01-06
新山水庫	995.96	700.07	2026-01-06
翡翠水庫	36997.6	35374.57	2026-01-06
寶山水庫	500.83	283.93	2026-01-06
寶山第二水庫	3379.78	2558.91	2026-01-06
永和山水庫	2993.43	2347.67	2026-01-06
大埔水庫	529.9	-1.0	2026-01-06
明德水庫	1242.28	810.62	2026-01-06
鯉魚潭水庫	11584.35	8291.35	2026-01-06
德基水庫	18432.88	17748.21	2026-01-06
石岡壩	120.21	30.1	2026-01-06
霧社水庫	2572.22	2019.47	2026-01-06
日月潭水庫	12846.14	11595.54	2026-01-06
湖山水庫	5041.0	3144.8	2026-01-06
仁義潭水庫	2459.19	1269.15	2026-01-06
蘭潭水庫	919.7	558.8	2026-01-06
白河水庫	1404.16	485.0	2026-01-06
烏山頭水庫	7737.94	4333.0	2026-01-06
曾文水庫	49181.0	36934.0	2026-01-06
南化水庫	8522.63	5672.17	2026-01-06
鏡面水庫	96.57	77.8	2026-01-06
澄清湖水庫	261.36	219.0	2026-01-06
阿公店水庫	1467.92	1273.0	2026-01-06
鳳山水庫	-1.0	448.8	2026-01-06
牡丹水庫	2622.08	2392.0	2026-01-06
成功水庫	121.0	109.03	2026-01-06
興仁水庫	74.0	36.14	2026-01-06
太湖水庫	148.08	130.4	2026-01-06
田埔水庫	48.62	38.71	2026-01-06
金沙水庫	43.47	33.4	2026-01-06
后沃水庫	41.63	28.94	2026-01-06
石門水庫	20526.0	20414.94	2026-01-07
西勢水庫	39.6	36.99	2026-01-07
新山水庫	995.96	706.04	2026-01-07
翡翠水庫	36997.6	35338.42	2026-01-07
寶山水庫	500.83	282.6	2026-01-07
寶山第二水庫	3379.78	2548.47	2026-01-07
永和山水庫	2993.43	2332.32	2026-01-07
大埔水庫	529.9	-1.0	2026-01-07
明德水庫	1242.28	810.62	2026-01-07
鯉魚潭水庫	11584.35	8252.21	2026-01-07
德基水庫	18432.88	17660.9	2026-01-07
石岡壩	120.21	35.66	2026-01-07
霧社水庫	2572.22	2029.33	2026-01-07
日月潭水庫	12846.14	11501.22	2026-01-07
湖山水庫	5041.0	3123.66	2026-01-07
仁義潭水庫	2459.19	1263.26	2026-01-07
蘭潭水庫	919.7	552.62	2026-01-07
白河水庫	1404.16	460.0	2026-01-07
烏山頭水庫	7737.94	4242.0	2026-01-07
曾文水庫	49181.0	36934.0	2026-01-07
南化水庫	8522.63	5626.94	2026-01-07
鏡面水庫	96.57	77.49	2026-01-07
澄清湖水庫	261.36	218.0	2026-01-07
阿公店水庫	1467.92	1256.0	2026-01-07
鳳山水庫	-1.0	447.64	2026-01-07
牡丹水庫	2622.08	2383.0	2026-01-07
成功水庫	121.0	109.03	2026-01-06
興仁水庫	74.0	36.14	2026-01-06
太湖水庫	148.08	130.4	2026-01-07
田埔水庫	48.62	37.65	2026-01-07
金沙水庫	43.47	33.4	2026-01-07
后沃水庫	41.63	28.98	2026-01-07
石門水庫	20526.0	20406.38	2026-01-08
西勢水庫	39.6	36.33	2026-01-08
新山水庫	995.96	711.18	2026-01-08
翡翠水庫	36997.6	35284.21	2026-01-08
寶山水庫	500.83	282.16	2026-01-08
寶山第二水庫	3379.78	2536.96	2026-01-08
永和山水庫	2993.43	2320.09	2026-01-08
大埔水庫	529.9	-1.0	2026-01-08
明德水庫	1242.28	805.42	2026-01-08
鯉魚潭水庫	11584.35	8213.06	2026-01-08
德基水庫	18432.88	17644.3	2026-01-08
石岡壩	120.21	26.09	2026-01-08
霧社水庫	2572.22	2053.26	2026-01-08
日月潭水庫	12846.14	11360.16	2026-01-08
湖山水庫	5041.0	3102.61	2026-01-08
仁義潭水庫	2459.19	1257.38	2026-01-08
蘭潭水庫	919.7	547.81	2026-01-08
白河水庫	1404.16	438.0	2026-01-08
烏山頭水庫	7737.94	4153.0	2026-01-08
曾文水庫	49181.0	36950.0	2026-01-08
南化水庫	8522.63	5589.93	2026-01-08
鏡面水庫	96.57	77.28	2026-01-08
澄清湖水庫	261.36	218.0	2026-01-07
阿公店水庫	1467.92	1243.0	2026-01-08
鳳山水庫	-1.0	447.64	2026-01-08
牡丹水庫	2622.08	2374.0	2026-01-08
成功水庫	121.0	109.03	2026-01-08
興仁水庫	74.0	35.2	2026-01-08
太湖水庫	148.08	129.93	2026-01-08
田埔水庫	48.62	37.44	2026-01-08
金沙水庫	43.47	33.4	2026-01-08
后沃水庫	41.63	29.11	2026-01-08
石門水庫	20526.0	20406.38	2026-01-09
西勢水庫	39.6	35.92	2026-01-09
新山水庫	995.96	717.62	2026-01-09
翡翠水庫	36997.6	35221.03	2026-01-09
寶山水庫	500.83	280.39	2026-01-09
寶山第二水庫	3379.78	2518.66	2026-01-09
永和山水庫	2993.43	2306.37	2026-01-09
明德水庫	-1.0	805.42	2026-01-09
鯉魚潭水庫	11584.35	8170.36	2026-01-09
德基水庫	18432.88	17623.57	2026-01-09
石岡壩	120.21	22.05	2026-01-09
霧社水庫	2572.22	2077.47	2026-01-09
日月潭水庫	12846.14	11477.68	2026-01-09
湖山水庫	5041.0	3080.01	2026-01-09
仁義潭水庫	2459.19	1249.55	2026-01-09
蘭潭水庫	919.7	542.32	2026-01-09
白河水庫	1404.16	412.0	2026-01-09
烏山頭水庫	7737.94	4058.0	2026-01-09
曾文水庫	49181.0	36934.0	2026-01-09
南化水庫	8522.63	5552.92	2026-01-09
鏡面水庫	96.57	77.18	2026-01-09
阿公店水庫	1467.92	1229.0	2026-01-09
鳳山水庫	-1.0	447.64	2026-01-09
牡丹水庫	2622.08	2364.0	2026-01-09
成功水庫	121.0	109.03	2026-01-09
興仁水庫	74.0	34.82	2026-01-09
太湖水庫	148.08	129.47	2026-01-09
田埔水庫	48.62	37.44	2026-01-09
