石門水庫	20526.0	20312.47	2025-01-01
西勢水庫	39.6	36.91	2025-01-01
新山水庫	995.96	946.6	2025-01-01
翡翠水庫	36997.6	35121.78	2025-01-01
寶山水庫	500.83	432.99	2025-01-01
寶山第二水庫	3383.71	3097.63	2025-01-01
永和山水庫	2993.43	2594.83	2025-01-01
大埔水庫	529.9	418.64	2024-12-30
明德水庫	1251.01	1084.55	2025-01-01
鯉魚潭水庫	11550.54	10261.15	2025-01-01
德基水庫	18796.18	18553.15	2025-01-01
石岡壩	108.93	12.93	2025-01-01
霧社水庫	2868.56	2648.38	2025-01-01
日月潭水庫	12949.09	12327.17	2025-01-01
湖山水庫	5060.76	3843.15	2025-01-01
仁義潭水庫	2465.68	2022.6	2025-01-01
蘭潭水庫	921.8	720.6	2025-01-01
白河水庫	1378.79	815.0	2024-12-31
烏山頭水庫	7846.77	7317.0	2025-01-01
曾文水庫	50474.63	50758.0	2025-01-01
南化水庫	8920.1	8212.88	2025-01-01
鏡面水庫	96.4	93.93	2025-01-01
阿公店水庫	1525.9	1764.0	2025-01-01
牡丹水庫	2652.09	2547.0	2024-12-31
成功水庫	121.0	-1.0	2025-01-01
興仁水庫	74.0	38.97	2025-01-01
后沃水庫	41.63	35.79	2024-12-31
鳳山水庫	-1.0	388.84	2024-12-31
石門水庫	20526.0	20329.57	2025-01-02
西勢水庫	39.6	36.08	2025-01-02
新山水庫	995.96	946.6	2025-01-02
翡翠水庫	36997.6	35121.78	2025-01-02
寶山水庫	500.83	436.85	2025-01-02
寶山第二水庫	3383.71	3090.81	2025-01-02
永和山水庫	2993.43	2586.69	2025-01-02
大埔水庫	529.9	418.64	2024-12-30
明德水庫	1251.01	1084.55	2025-01-02
鯉魚潭水庫	11550.54	10297.74	2025-01-02
德基水庫	18796.18	18553.15	2025-01-01
石岡壩	108.93	12.93	2025-01-02
霧社水庫	2868.56	2601.89	2025-01-02
日月潭水庫	12949.09	12641.28	2025-01-02
湖山水庫	5060.76	3853.92	2025-01-02
仁義潭水庫	2465.68	2020.38	2025-01-02
蘭潭水庫	921.8	716.89	2025-01-02
白河水庫	1378.79	784.0	2025-01-02
烏山頭水庫	7846.77	7279.0	2025-01-02
曾文水庫	50474.63	50815.0	2025-01-02
南化水庫	8920.1	8188.58	2025-01-02
鏡面水庫	96.4	93.93	2025-01-02
阿公店水庫	1525.9	1758.0	2025-01-02
鳳山水庫	-1.0	406.51	2025-01-02
牡丹水庫	2652.09	2539.0	2025-01-02
成功水庫	121.0	-1.0	2025-01-02
興仁水庫	74.0	38.97	2025-01-01
后沃水庫	41.63	35.59	2025-01-02
石門水庫	20526.0	20355.15	2025-01-03
西勢水庫	39.6	36.16	2025-01-03
新山水庫	995.96	946.09	2025-01-03
翡翠水庫	36997.6	35121.78	2025-01-02
寶山水庫	500.83	438.51	2025-01-03
寶山第二水庫	3383.71	3081.26	2025-01-03
永和山水庫	2993.43	2586.69	2025-01-02
明德水庫	1251.01	1084.55	2025-01-02
鯉魚潭水庫	11550.54	10314.14	2025-01-03
德基水庫	18796.18	18541.73	2025-01-03
石岡壩	108.93	13.16	2025-01-03
霧社水庫	2868.56	2627.4	2025-01-03
日月潭水庫	12949.09	12520.24	2025-01-03
湖山水庫	5060.76	3859.3	2025-01-03
仁義潭水庫	2465.68	2011.52	2025-01-03
蘭潭水庫	921.8	712.44	2025-01-03
白河水庫	1378.79	771.0	2025-01-03
烏山頭水庫	7846.77	7214.0	2025-01-03
曾文水庫	50474.63	50834.0	2025-01-03
南化水庫	8920.1	8164.29	2025-01-03
鏡面水庫	96.4	93.93	2025-01-03
阿公店水庫	1525.9	1755.0	2025-01-03
牡丹水庫	2652.09	2536.0	2025-01-03
成功水庫	121.0	-1.0	2025-01-03
興仁水庫	74.0	38.97	2025-01-01
大埔水庫	529.9	-1.0	2025-01-02
鳳山水庫	-1.0	406.51	2025-01-02
后沃水庫	41.63	35.59	2025-01-02
石門水庫	20526.0	20338.04	2025-01-04
