石門水庫	19740.5	13075.56	2021-01-01
西勢水庫	43.69	43.69	2021-01-01
新山水庫	1002.0	928.0	2021-01-01
翡翠水庫	33550.5	31812.7	2021-01-01
寶山水庫	503.5	150.52	2021-01-01
寶山第二水庫	3147.18	1031.87	2021-01-01
永和山水庫	2998.94	795.68	2021-01-01
大埔水庫	529.9	189.76	2021-01-01
明德水庫	1222.05	199.03	2021-01-01
鯉魚潭水庫	11451.5	3424.9	2021-01-01
德基水庫	18764.0	5863.2	2021-01-01
石岡壩	149.31	33.13	2021-01-01
霧社水庫	3745.83	516.44	2021-01-01
日月潭水庫	12790.99	9932.42	2021-01-01
湖山水庫	5086.51	3814.03	2021-01-01
仁義潭水庫	2527.46	1634.62	2021-01-01
蘭潭水庫	923.29	507.03	2021-01-01
白河水庫	691.03	53.0	2021-01-01
烏山頭水庫	7876.5	3966.0	2021-01-01
曾文水庫	50849.0	11639.0	2021-01-01
南化水庫	9080.1	7027.98	2021-01-01
鏡面水庫	98.3	60.49	2021-01-01
澄清湖水庫	262.95	254.0	2021-01-01
阿公店水庫	1522.54	1362.0	2021-01-01
鳳山水庫	716.0	374.13	2021-01-01
牡丹水庫	2645.73	2057.0	2021-01-01
成功水庫	104.0	19.9	2021-01-01
興仁水庫	63.7	18.34	2021-01-01
太湖水庫	118.7	23.69	2021-01-01
田埔水庫	45.5	18.93	2021-01-01
金沙水庫	34.6	22.93	2021-01-01
后沃水庫	41.63	20.25	2021-01-01
石門水庫	19740.5	13068.94	2021-01-02
西勢水庫	43.69	43.69	2021-01-02
新山水庫	1002.0	927.5	2021-01-02
翡翠水庫	33550.5	31839.65	2021-01-02
寶山水庫	503.5	147.88	2021-01-02
寶山第二水庫	3147.18	1019.63	2021-01-02
永和山水庫	2998.94	788.37	2021-01-02
大埔水庫	529.9	189.76	2021-01-02
明德水庫	1222.05	198.18	2021-01-02
鯉魚潭水庫	11451.5	3386.12	2021-01-02
德基水庫	18764.0	5805.04	2021-01-02
石岡壩	149.31	34.42	2021-01-02
霧社水庫	3745.83	541.43	2021-01-02
日月潭水庫	12790.99	9962.17	2021-01-02
湖山水庫	5086.51	3796.41	2021-01-02
仁義潭水庫	2527.46	1628.31	2021-01-02
蘭潭水庫	923.29	505.09	2021-01-02
白河水庫	691.03	53.0	2021-01-02
烏山頭水庫	7876.5	3918.0	2021-01-02
曾文水庫	50849.0	11649.0	2021-01-02
南化水庫	9080.1	6991.85	2021-01-02
鏡面水庫	98.3	60.21	2021-01-02
澄清湖水庫	262.95	254.0	2021-01-02
阿公店水庫	1522.54	1348.0	2021-01-02
鳳山水庫	716.0	381.07	2021-01-02
牡丹水庫	2645.73	2052.0	2021-01-02
成功水庫	104.0	19.7	2021-01-02
興仁水庫	63.7	18.34	2021-01-02
太湖水庫	118.7	23.67	2021-01-02
田埔水庫	45.5	19.0	2021-01-02
金沙水庫	34.6	22.92	2021-01-02
后沃水庫	41.63	20.11	2021-01-02
石門水庫	19740.5	13055.71	2021-01-03
西勢水庫	43.69	43.69	2021-01-03
新山水庫	1002.0	927.5	2021-01-03
翡翠水庫	33550.5	31875.62	2021-01-03
寶山水庫	503.5	145.27	2021-01-03
寶山第二水庫	3147.18	1008.52	2021-01-03
永和山水庫	2998.94	780.39	2021-01-03
大埔水庫	529.9	191.25	2021-01-03
明德水庫	1222.05	197.33	2021-01-03
鯉魚潭水庫	11451.5	3344.32	2021-01-03
德基水庫	18764.0	5737.44	2021-01-03
石岡壩	149.31	36.71	2021-01-03
霧社水庫	3745.83	567.05	2021-01-03
日月潭水庫	12790.99	10021.77	2021-01-03
湖山水庫	5086.51	3778.82	2021-01-03
仁義潭水庫	2527.46	1619.91	2021-01-03
蘭潭水庫	923.29	503.14	2021-01-03
白河水庫	691.03	53.0	2021-01-03
烏山頭水庫	7876.5	3863.0	2021-01-03
曾文水庫	50849.0	11668.0	2021-01-03
南化水庫	9080.1	6937.65	2021-01-03
鏡面水庫	98.3	59.93	2021-01-03
澄清湖水庫	262.95	253.0	2021-01-03
阿公店水庫	1522.54	1337.0	2021-01-03
鳳山水庫	716.0	388.59	2021-01-03
牡丹水庫	2645.73	2045.0	2021-01-03
成功水庫	104.0	19.5	2021-01-03
興仁水庫	63.7	18.34	2021-01-03
太湖水庫	118.7	23.34	2021-01-03
田埔水庫	45.5	19.41	2021-01-03
金沙水庫	34.6	22.92	2021-01-03
后沃水庫	41.63	20.08	2021-01-03
石門水庫	19740.5	13029.28	2021-01-04
西勢水庫	43.69	43.69	2021-01-04
新山水庫	1002.0	928.0	2021-01-04
翡翠水庫	33550.5	31875.62	2021-01-04
寶山水庫	503.5	144.4	2021-01-04
寶山第二水庫	3147.18	993.55	2021-01-04
永和山水庫	2998.94	773.19	2021-01-04
大埔水庫	529.9	191.25	2021-01-04
明德水庫	1222.05	196.91	2021-01-04
鯉魚潭水庫	11451.5	3310.43	2021-01-04
德基水庫	18764.0	5647.08	2021-01-04
石岡壩	149.31	39.41	2021-01-04
霧社水庫	3745.83	591.37	2021-01-04
日月潭水庫	12790.99	10465.33	2021-01-04
湖山水庫	5086.51	3763.03	2021-01-04
仁義潭水庫	2527.46	1613.61	2021-01-04
蘭潭水庫	923.29	500.55	2021-01-04
白河水庫	691.03	53.0	2021-01-04
烏山頭水庫	7876.5	3802.0	2021-01-04
曾文水庫	50849.0	11678.0	2021-01-04
